"word","frequency"
"заживать",8
"человек",6
"делать",5
"жж»",5
"маленький",5
"говорить",4
"конец",4
"любовь",4
"мост",4
"сила",4
"хотеть",4
"боль",3
"быть",3
"вещь",3
"вть",3
"день",3
"дом",3
"запах",3
"красный",3
"лицо",3
"место",3
"можно",3
"никогда",3
"погода",3
"потом",3
"прикосновение",3
"сердце",3
"сказать",3
"теперь",3
"туман",3
"утро",3
"фуг",3
"бездомный",2
"бешенство",2
"больно",2
"больше",2
"вместе",2
"вн»",2
"всегда",2
"глаз",2
"глубина",2
"горизонт",2
"дерево",2
"должен",2
"другой",2
"душа",2
"жалость",2
"животное",2
"жёлтый",2
"здесь",2
"земля",2
"иногда",2
"лист",2
"любить",2
"небо",2
"нежный",2
"ночь",2
"ный",2
"оказываться",2
"осень",2
"отвечать",2
"ошибка",2
"пережить",2
"пожалуйста",2
"пока",2
"пора",2
"поэзия",2
"работа",2
"равный",2
"рука",2
"самый",2
"свидетель",2
"скра",2
"смотреть",2
"снег",2
"солнце",2
"страх",2
"сумерки",2
"тихий",2
"точка",2
"удаляться",2
"удар",2
"цвет",2
"чёрный",2
"«Здравствуйте»",1
"«Неумер",1
"«выломиться",1
"«жить",1
"«землистый",1
"«мечтать",1
"«небесный",1
"«недель",1
"«пожухлые»",1
"«прость",1
"Барт",1
"Гаита",1
"Идой",1
"Конечно",1
"Липова",1
"Лупоглазый",1
"Незнавать",1
"Снигиревский",1
"Товп",1
"Ускользать",1
"Херувимый",1
"аКафкин",1
"адресат",1
"алтарь",1
"ампутация",1
"аон",1
"арматура",1
"балкон",1
"балясин",1
"банально",1
"бедро",1
"безмятежно",1
"безответный",1
"безрадостно",1
"безразмерный",1
"белок",1
"береговой",1
"беспомощна",1
"беспомощно",1
"бестактный",1
"битый",1
"близость",1
"более",1
"болезненно",1
"болеть",1
"большой",1
"брандмауэр",1
"брать",1
"бугра",1
"бутылка",1
"вать",1
"вельветовый",1
"вероятность",1
"ветреный",1
"вечер",1
"вечерний",1
"взаймы",1
"видеть",1
"видно",1
"витрина",1
"влажность",1
"вовлечённость",1
"вовсе",1
"воздействие",1
"возможно",1
"война",1
"войти",1
"волос",1
"воображение",1
"вообще",1
"вопрошать",1
"впрочем",1
"всеобщий",1
"вспоминать",1
"вспущенный",1
"встреча",1
"встречный",1
"второй",1
"втуман",1
"въезд",1
"выделение",1
"вызвать",1
"выйти",1
"выморочность",1
"выносить",1
"выражение",1
"высматривать",1
"высокий",1
"вычитать",1
"гадательно»",1
"гарь",1
"где",1
"головокружительность",1
"гора",1
"горб",1
"город",1
"горчичный",1
"горящий",1
"грусть",1
"гусь",1
"давать",1
"дать",1
"действие",1
"действительно",1
"действительность",1
"деловитость",1
"держа",1
"джинсы",1
"дистанция",1
"дователь",1
"доверительный",1
"дорога",1
"дорожка",1
"дотрагиваться",1
"драгоценне",1
"дрейфовать",1
"дрожать",1
"друг",1
"друид",1
"дуб",1
"думать",1
"дывать",1
"дым",1
"единственный",1
"ехать",1
"еще",1
"жалоба",1
"железный",1
"жест",1
"жесть",1
"жизнь",1
"жить",1
"забор",1
"зайти",1
"закуривать",1
"заливать",1
"замарать",1
"запястье",1
"затянуться",1
"защищать",1
"звон",1
"звёзд",1
"зелёный",1
"зима",1
"зимородка",1
"злой",1
"знакомец",1
"знать",1
"золотой",1
"зона",1
"зрение",1
"ивый",1
"иеж",1
"избегнуть",1
"избыток",1
"излучение",1
"илампочка",1
"интерлюдия",1
"испытывать",1
"иссло",1
"истерический",1
"исток",1
"йоктосекунда",1
"какема",1
"какесли",1
"какесль",1
"какон",1
"катер",1
"кафе",1
"качество",1
"кинжал",1
"кинопроцесса",1
"клок",1
"кожа",1
"кожурый",1
"колесо",1
"колокольный",1
"колонный",1
"комната",1
"компактный",1
"конечно",1
"коньяк",1
"коричневый",1
"короткий",1
"космонавт",1
"космос",1
"коснуться",1
"костер",1
"кофе",1
"красиво",1
"красненький",1
"крепкий",1
"крик",1
"кропотливый",1
"кружочка",1
"крушение",1
"крыша",1
"кукушка",1
"куста",1
"ламантина",1
"легкий",1
"легко",1
"лежать",1
"лежачий",1
"лента",1
"лес",1
"летать",1
"лето",1
"лечить",1
"лизать",1
"линия",1
"любовник",1
"магонь",1
"маркированный",1
"маркировать",1
"маршрут",1
"мач",1
"менее",1
"мерцание",1
"месяц",1
"мечтать",1
"мирно",1
"мистический",1
"много",1
"множество",1
"молния",1
"молчаливый",1
"монотонный",1
"морской",1
"мотоциклет",1
"мочь",1
"мягко",1
"набережная",1
"наваждение",1
"надежда",1
"надо",1
"надорвать",1
"наказание",1
"наказать",1
"напиться",1
"напоминать",1
"насекомое",1
"наступить",1
"находить",1
"начинать",1
"небоскрёб",1
"неведомый",1
"неделя",1
"нежно",1
"незнакомец",1
"нельзя",1
"необратимый",1
"неочевидный",1
"непосиль",1
"неправильно",1
"непрерывный",1
"неприятный",1
"непрозрачный",1
"неразличимый",1
"несчастье",1
"нетуман",1
"неубиваемый",1
"новый",1
"носок",1
"нырять",1
"нято",1
"обижать",1
"облако",1
"обмануть",1
"обозрений",1
"объятие",1
"обычный",1
"огонь",1
"огораживать",1
"одинаковый",1
"однажды",1
"ожидание",1
"озираться",1
"означать",1
"опасный",1
"опьянение",1
"опять",1
"освещёть",1
"осенние",1
"особенный",1
"осознать",1
"остальной",1
"осуществлять",1
"отваживать",1
"отвратительный",1
"отделился»",1
"отделяться",1
"отечество",1
"отличать",1
"отмерять",1
"отпадать",1
"отправить",1
"отрицать",1
"отродья",1
"отрыв",1
"отчаяние",1
"очевидность",1
"оёаса",1
"павильон",1
"павловний",1
"пад",1
"падать",1
"падение",1
"палец",1
"память",1
"патриархат",1
"пахнуть",1
"пейзаж",1
"перверсивный",1
"перевор",1
"перекреститься",1
"перема",1
"переносить",1
"перепрятывать",1
"перестать",1
"переход",1
"перчатка",1
"песо",1
"пешеход",1
"письмо",1
"пить",1
"плакальщица",1
"плоскость",1
"по-другому»",1
"поблизости",1
"повсеместный",1
"поджигатель",1
"поздний",1
"поиск",1
"пойти",1
"покрыть",1
"ползти",1
"полоск",1
"полох",1
"понимать",1
"понять",1
"поравняеться",1
"порядок",1
"постлюдие",1
"потому",1
"поэтому",1
"превращаться",1
"предел",1
"прелюдия",1
"приближаться",1
"прибрежный",1
"придорожный",1
"прижиться",1
"признавать",1
"принадлежать",1
"приникать",1
"приобрести",1
"природа",1
"прислушиваться",1
"притяжение",1
"приходить",1
"причинить",1
"провал",1
"произносить",1
"проложить",1
"пронзительный",1
"проходить",1
"процентный",1
"прочёсывать",1
"прощаться»",1
"птица",1
"пустой",1
"пустырь",1
"пытливый",1
"равнозначный",1
"равномерно",1
"раздеть",1
"размечать",1
"разносить",1
"разный",1
"разойтись",1
"разрешать",1
"разрыв",1
"ракета",1
"расположенный",1
"рассказывать",1
"растерянность",1
"ребята",1
"редкий",1
"резкий",1
"ровно",1
"рогатина",1
"рокинутый",1
"рост",1
"рукав",1
"руль",1
"сад",1
"саженец",1
"сам",1
"самонаказание",1
"сборка",1
"сбываться",1
"свертка",1
"сверху",1
"свет",1
"светиться",1
"светровный",1
"свечение",1
"свитер»",1
"свобода",1
"свободный",1
"связь",1
"сгореть",1
"сгущать",1
"сегодня",1
"серафимый",1
"сестрица",1
"сидять",1
"синенький",1
"синяк",1
"складочка",1
"скользить",1
"скорее",1
"скорченный",1
"скрадывать",1
"скупой",1
"следовать",1
"слепота",1
"слишком",1
"случилось»",1
"снимок",1
"сновь",1
"собака",1
"собраться",1
"соотношение",1
"спелёнат",1
"спутник",1
"становиться",1
"старушка",1
"стать",1
"стеклянный",1
"стелться",1
"стех",1
"стоить",1
"страшной",1
"стремительно",1
"стринг",1
"строгий",1
"стский",1
"стянуть",1
"сужий",1
"существо",1
"считать",1
"сясный",1
"тдй-то",1
"телесный",1
"тело",1
"температура",1
"тихо»",1
"тный",1
"тобой»",1
"тогда",1
"тополь",1
"трава",1
"трактовать",1
"тревожны",1
"тревожный",1
"туманность",1
"туманный",1
"туя",1
"тяжёлый",1
"тёмный",1
"удаться",1
"удивлять",1
"уйти",1
"умереть",1
"умереть»",1
"уродиться",1
"уснуть",1
"уязвимый",1
"фигура",1
"фин",1
"фиолетовый",1
"форма",1
"формула",1
"фотографировать",1
"фотография",1
"хоботка",1
"ходить",1
"хоронить",1
"хост",1
"цвета»",1
"цветы",1
"чайка",1
"чака",1
"чивать",1
"чувство",1
"чудесный",1
"шашлык",1
"шерсть",1
"шлейф",1
"шрам",1
"шёпот",1
"щадить",1
"щека",1
"щиплоть",1
"юность",1
"ягодица",1
"язык",1
"ясность",1
